Source,open,high,low,close,volume
2023-08-07,29092.01,29263.74,28705.0,29200.01,155.12143
2023-08-08,29205.0,30120.0,29142.3,29774.97,274.69808
2023-08-09,29774.99,30120.0,29391.94,29575.01,177.6591
2023-08-10,29575.01,29730.0,29341.32,29454.17,159.47785
2023-08-11,29454.17,29560.0,29250.0,29427.14,201.05367
2023-08-12,29427.13,29480.6,29381.84,29424.99,107.37273
2023-08-13,29415.06,29467.0,29280.01,29311.08,87.20888
2023-08-14,29301.21,29694.67,29121.97,29432.1,169.25687
2023-08-15,29432.1,29493.2,29015.3,29190.12,106.07506
2023-08-16,29187.21,29261.5,28720.69,28734.96,193.24183
2023-08-17,28734.96,28780.0,26350.0,26630.0,445.99517
2023-08-18,26625.0,26823.25,25619.9,26060.19,327.77939
2023-08-19,26059.99,26265.84,25815.0,26106.91,108.76234
2023-08-20,26106.9,26286.03,25992.52,26186.42,96.81339
2023-08-21,26194.4,26250.0,25809.39,26122.59,110.56406
2023-08-22,26133.76,26139.99,25363.16,26054.99,164.89006
2023-08-23,26059.99,26815.0,25815.61,26449.68,251.58855
2023-08-24,26449.68,26579.62,25886.7,26175.01,134.73212
2023-08-25,26181.05,26299.99,25790.0,26064.1,196.37414
2023-08-26,26064.1,26119.12,25990.38,26013.79,35.33642
2023-08-27,26015.04,26179.37,25950.0,26098.81,91.37392
2023-08-28,26108.53,26253.33,25875.0,26128.11,167.82147
2023-08-29,26127.11,28135.98,25920.52,27723.71,427.89303
2023-08-30,27724.96,27767.89,27049.81,27295.85,235.22555
2023-08-31,27298.58,27550.15,25715.51,25949.97,299.19292
2023-09-01,25949.97,26153.89,25355.12,25814.53,234.55928
2023-09-02,25814.52,25974.79,25746.8,25865.0,72.48573
2023-09-03,25864.99,26119.05,25819.46,25979.99,140.10935
2023-09-04,25979.99,26099.47,25641.14,25829.98,136.2552
2023-09-05,25827.68,25895.95,25578.56,25780.4,108.31735
2023-09-06,25784.75,26032.91,25373.4,25764.99,162.75791
2023-09-07,25764.99,26445.78,25620.0,26253.88,158.85946
2023-09-08,26253.88,26429.26,25689.9,25912.99,109.6969
2023-09-09,25905.05,25942.94,25806.0,25907.4,61.87145
2023-09-10,25903.2,26000.0,25591.08,25837.78,115.26437
2023-09-11,25837.78,25891.46,24900.0,25164.13,273.08039
2023-09-12,25157.25,26440.0,25129.38,25840.19,286.7064
2023-09-13,25840.2,26404.02,25781.11,26215.57,189.91369
2023-09-14,26224.27,26814.86,26146.2,26521.8,245.60104
2023-09-15,26536.1,26879.8,26223.75,26603.66,181.06799
2023-09-16,26599.99,26772.74,26451.15,26564.87,115.57404
2023-09-17,26564.87,26619.58,26385.94,26525.01,86.33486
2023-09-18,26525.01,27411.97,26400.0,26756.08,291.42457
2023-09-19,26764.99,27483.06,26660.01,27212.67,250.90933
2023-09-20,27212.69,27387.41,26857.59,27134.94,208.20494
2023-09-21,27121.69,27152.52,26342.0,26566.44,229.63043
2023-09-22,26573.55,26720.0,26491.73,26579.73,124.6593
2023-09-23,26582.0,26632.83,26508.65,26580.03,57.47507
2023-09-24,26584.99,26733.07,26170.88,26243.85,103.37993
2023-09-25,26249.99,26439.49,26002.79,26300.0,168.70237
2023-09-26,26300.0,26407.33,26095.0,26211.63,118.01781
2023-09-27,26219.86,26841.47,26111.78,26373.99,235.94715
2023-09-28,26373.99,27294.6,26340.0,27023.99,284.86239
2023-09-29,27023.98,27226.01,26600.0,26909.86,194.77297
2023-09-30,26902.97,27100.0,26886.09,26960.01,92.61436
2023-10-01,26960.0,28024.0,26956.0,27994.99,182.15753
2023-10-02,27994.99,28485.97,27290.8,27544.99,305.42682
2023-10-03,27538.64,27673.49,27158.39,27420.0,202.03119
2023-10-04,27420.99,27835.19,27246.0,27790.15,187.67526
2023-10-05,27789.66,28138.1,27350.0,27419.92,196.41966
2023-10-06,27410.02,28127.18,27069.93,27935.03,225.39403
2023-10-07,27936.0,27975.14,27843.65,27952.0,69.06262
2023-10-08,27952.0,28090.0,27689.99,27920.0,106.82616
2023-10-09,27915.01,27984.99,27250.0,27584.59,168.02213
2023-10-10,27579.67,27700.0,27297.92,27418.69,128.99393
2023-10-11,27418.69,27477.99,26542.08,26879.99,208.7874
2023-10-12,26879.99,26946.79,26555.82,26764.31,114.60949
2023-10-13,26765.0,27147.4,26689.1,26859.53,134.54676
2023-10-14,26866.14,26986.72,26793.53,26858.31,59.97108
2023-10-15,26858.1,27250.0,26815.02,27135.01,87.94757
2023-10-16,27141.12,28803.36,27087.8,28466.74,295.79009
2023-10-17,28466.63,28579.81,28064.1,28403.58,186.50895
2023-10-18,28403.38,28941.84,28140.0,28318.99,182.28542
2023-10-19,28318.99,28803.36,28137.02,28717.45,199.52404
2023-10-20,28718.45,29836.84,28616.92,29659.06,278.35869
2023-10-21,29659.07,30200.0,29455.3,29904.46,186.32447
2023-10-22,29904.85,30130.0,29700.0,29992.78,132.86552
2023-10-23,29992.78,33425.56,29875.5,32915.0,503.45501
2023-10-24,32915.0,35100.0,32846.23,33932.19,625.25892
2023-10-25,33932.22,35000.0,33670.98,34520.97,344.09174
2023-10-26,34520.97,34803.48,33762.93,34157.97,302.09876
2023-10-27,34174.04,34248.27,33201.35,33870.0,193.98987
2023-10-28,33870.0,34314.9,33818.82,34097.09,85.94278
2023-10-29,34095.3,34717.13,33936.34,34522.08,138.24133
2023-10-30,34531.64,34873.66,34052.33,34481.52,235.60469
2023-10-31,34481.52,34635.0,34064.94,34627.47,179.45831
2023-11-01,34627.2,35496.2,34100.0,35400.13,370.11502
2023-11-02,35427.62,35954.99,34555.0,34942.95,328.43787
2023-11-03,34945.31,34947.97,34121.79,34720.25,215.27124
2023-11-04,34707.48,35211.47,34588.28,35048.07,104.6704
2023-11-05,35038.73,35377.11,34600.0,35024.18,154.72625
2023-11-06,35007.74,35278.0,34735.93,35042.52,227.77083
2023-11-07,35040.08,35700.0,34524.98,35385.6,287.00925
2023-11-08,35405.58,35947.0,35103.03,35628.94,287.54097
2023-11-09,35628.93,37974.85,35550.0,36680.47,646.32063
2023-11-10,36701.93,37450.0,36400.01,37295.58,296.49994
2023-11-11,37278.23,37387.0,36728.06,37143.52,181.84587
2023-11-12,37140.0,37199.0,36760.0,37085.2,105.9848
2023-11-13,37085.19,37399.0,36193.3,36466.15,257.17992
2023-11-14,36465.6,36744.96,35200.0,35557.53,296.88478
2023-11-15,35550.0,37850.0,35378.95,37846.08,321.64399
2023-11-16,37846.09,37850.0,35505.64,36209.38,355.45139
2023-11-17,36197.88,36699.0,35868.57,36566.73,255.38624
2023-11-18,36566.73,36765.65,36192.87,36568.81,98.56694
2023-11-19,36570.01,37429.55,36391.47,37352.05,181.97825
2023-11-20,37357.64,37696.51,36704.26,37400.0,268.74155
2023-11-21,37400.01,37575.51,35755.0,35780.49,376.67386
2023-11-22,35755.01,37740.0,35735.33,37360.0,367.60566
2023-11-23,37365.11,37649.99,36886.88,37290.14,171.55226
2023-11-24,37302.01,38404.2,37254.54,37716.86,285.51062
2023-11-25,37725.01,37888.0,37593.67,37794.42,81.81006
2023-11-26,37777.01,37821.55,37181.0,37450.0,138.10811
2023-11-27,37450.0,37557.77,36720.09,37237.52,165.29516
2023-11-28,37251.95,38222.0,36875.0,37823.4,260.66305
2023-11-29,37824.52,38432.91,37575.0,37861.76,224.76946
2023-11-30,37845.94,38141.87,37509.01,37730.97,185.0633
2023-12-01,37730.95,38976.67,37611.02,38688.5,305.46832
2023-12-02,38686.64,39699.95,38639.15,39453.91,167.97752
2023-12-03,39471.72,40179.82,39277.33,40020.0,215.89243
2023-12-04,40019.99,42399.12,40000.0,41998.28,528.09176
2023-12-05,41980.02,44482.83,41420.69,44151.45,476.49982
2023-12-06,44153.06,44278.84,43382.42,43779.58,327.97515
2023-12-07,43779.59,44038.08,42961.77,43283.59,257.92184
2023-12-08,43284.97,44700.01,43082.72,44178.56,271.66113
2023-12-09,44154.13,44348.86,43600.32,43701.86,130.27304
2023-12-10,43727.71,44024.18,43600.02,43788.74,108.3228
2023-12-11,43777.37,43820.0,40232.18,41237.41,349.01806
2023-12-12,41237.41,42100.0,40679.77,41465.48,246.18935
2023-12-13,41494.58,43440.76,40647.38,42878.34,261.76573
2023-12-14,42890.31,43411.81,41503.81,43031.93,245.7777
2023-12-15,43021.33,43081.95,41684.56,41932.39,162.94656
2023-12-16,41938.42,42699.99,41624.6,42258.78,95.56071
2023-12-17,42258.94,42407.93,41281.8,41368.43,91.01864
2023-12-18,41401.53,42707.71,40533.7,42628.76,198.62958
2023-12-19,42640.13,43268.11,41818.34,42270.46,205.44794
2023-12-20,42285.38,44266.37,42207.14,43676.0,280.8664
2023-12-21,43661.78,44230.0,43303.88,43854.69,240.3177
2023-12-22,43854.09,44250.0,43468.86,43961.99,216.33361
2023-12-23,43936.56,43985.0,43316.8,43700.1,122.84694
2023-12-24,43700.12,43928.28,42820.95,42991.17,199.04718
2023-12-25,42965.64,43739.17,42759.01,43607.38,135.29789
2023-12-26,43583.07,43605.95,41788.0,42526.37,165.30277
2023-12-27,42505.16,43657.61,42126.6,43410.09,177.57394
2023-12-28,43434.54,43723.42,42320.0,42601.54,168.15707
2023-12-29,42601.54,43098.35,41296.35,42085.42,228.6485
2023-12-30,42085.36,42598.22,41516.66,42138.01,146.52109
2023-12-31,42163.09,42858.4,42007.52,42255.16,151.28184
2024-01-01,42278.79,44000.0,42212.0,43999.99,177.52851
2024-01-02,43998.83,45889.62,43961.25,44953.74,399.57179
2024-01-03,44931.83,45489.66,42045.02,42823.2,399.85334
2024-01-04,42860.53,44689.98,42620.55,44146.81,288.38869
