Source.Name,open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_base_volume,taker_buy_quote_volume
BTCUSDT-1d-2020-03.csv,1.58302E+12,8523.66,8746.82,8428.7,8545.65,62.480797,1.58311E+12,534919.8554,1103,35.804482,306560.1463
BTCUSDT-1d-2020-03.csv,1.58311E+12,8525.48,8963.39,8502.03,8900.76,75.481934,1.58319E+12,663296.5202,2102,33.146302,291240.4274
BTCUSDT-1d-2020-03.csv,1.58319E+12,8913.63,8919.44,8660.53,8758.86,99.933376,1.58328E+12,876978.3499,2851,44.42656,389880.0263
BTCUSDT-1d-2020-03.csv,1.58328E+12,8765.54,8844.36,8672.76,8748.23,69.532432,1.58337E+12,609165.0544,2881,31.366528,275039.5524
BTCUSDT-1d-2020-03.csv,1.58337E+12,8765.21,9152.18,8765.21,9062.79,94.383394,1.58345E+12,848608.0894,3707,51.452475,463358.5229
BTCUSDT-1d-2020-03.csv,1.58345E+12,9051.95,9170.84,8993.59,9140.03,62.796637,1.58354E+12,570083.7307,2422,26.11753,237348.2774
BTCUSDT-1d-2020-03.csv,1.58354E+12,9140.03,9199.13,8847.87,8886.71,77.674978,1.58363E+12,702373.7634,1776,23.924362,216156.0048
BTCUSDT-1d-2020-03.csv,1.58363E+12,8885.47,8885.47,8003.84,8036.46,127.36534,1.58371E+12,1073386.818,2700,53.80244,450398.2037
BTCUSDT-1d-2020-03.csv,1.58371E+12,8036.65,8175.98,7642.21,7939.79,304.948987,1.5838E+12,2404069.977,3667,172.297745,1357385.433
BTCUSDT-1d-2020-03.csv,1.5838E+12,7939.82,8140.35,7736.58,7888.99,146.684987,1.58388E+12,1165668.279,1884,85.217337,676954.3034
BTCUSDT-1d-2020-03.csv,1.58388E+12,7880,7977.46,7597.21,7926.4,114.702022,1.58397E+12,894631.9703,1679,64.127401,499954.5171
BTCUSDT-1d-2020-03.csv,1.58397E+12,7950.14,7956.4,4510,4824.58,2078.443533,1.58406E+12,12372524.89,14066,1146.703648,6818895.66
BTCUSDT-1d-2020-03.csv,1.58406E+12,4814.78,5948.5,3649.04,5582.5,2402.633114,1.58414E+12,11891820.99,17194,1478.406481,7295244.06
BTCUSDT-1d-2020-03.csv,1.58414E+12,5583.79,5626,5053.25,5169.45,183.878643,1.58423E+12,987125.1103,1721,120.932086,651843.9747
BTCUSDT-1d-2020-03.csv,1.58423E+12,5172.68,5943.59,5101.05,5365.04,306.334772,1.58432E+12,1684440.117,1747,171.251591,942162.1813
BTCUSDT-1d-2020-03.csv,1.58432E+12,5326.48,5361.94,4426.37,5023,525.896332,1.5844E+12,2575373.371,2934,300.836005,1474590.874
BTCUSDT-1d-2020-03.csv,1.5844E+12,5018.11,5522.61,4950.17,5320.37,307.111606,1.58449E+12,1625117.372,1750,219.39673,1160685.163
BTCUSDT-1d-2020-03.csv,1.58449E+12,5337.47,5437.71,5000.05,5390.21,567.576802,1.58458E+12,2975329.986,1838,355.729835,1864219.84
BTCUSDT-1d-2020-03.csv,1.58458E+12,5394.56,6397.65,5252.01,6179.03,480.699799,1.58466E+12,2843685.279,3771,289.972877,1707308.522
BTCUSDT-1d-2020-03.csv,1.58466E+12,6166.81,6904.12,5685.74,6205,542.741617,1.58475E+12,3459866.75,3805,312.934856,1992987.882
BTCUSDT-1d-2020-03.csv,1.58475E+12,6208.38,6451.84,5871.38,6165,349.50878,1.58484E+12,2159167.481,2074,207.126034,1281092.218
BTCUSDT-1d-2020-03.csv,1.58484E+12,6148.07,6403.69,5762.84,5818.52,382.082858,1.58492E+12,2314789.511,1966,232.545149,1411810.807
BTCUSDT-1d-2020-03.csv,1.58492E+12,5810.22,6586.88,5696.92,6481.71,325.910685,1.58501E+12,2008134.012,1979,175.143605,1077526.484
BTCUSDT-1d-2020-03.csv,1.58501E+12,6499.47,6830.63,6387.89,6749.94,193.537502,1.58509E+12,1284037.525,1731,94.32279,626398.5992
BTCUSDT-1d-2020-03.csv,1.58509E+12,6744.53,6954.56,6474.17,6695.91,179.296648,1.58518E+12,1195428.043,1274,94.442229,629820.886
BTCUSDT-1d-2020-03.csv,1.58518E+12,6700,6772.38,6517.01,6734.11,176.751321,1.58527E+12,1176989.972,1086,96.6393,643911.5888
BTCUSDT-1d-2020-03.csv,1.58527E+12,6750.08,6836.61,6275.59,6365.87,156.399686,1.58535E+12,1032728.165,1710,88.529133,583852.3234
BTCUSDT-1d-2020-03.csv,1.58535E+12,6359.77,6359.77,6032.28,6243.16,282.316189,1.58544E+12,1747205.343,2422,151.803336,939064.8022
BTCUSDT-1d-2020-03.csv,1.58544E+12,6241.06,6266.95,5867.15,5876.82,245.719311,1.58553E+12,1480207.321,1453,143.735364,869437.6506
BTCUSDT-1d-2020-03.csv,1.58553E+12,5895.02,6607.25,5862.32,6386.47,374.646417,1.58561E+12,2374140.092,2209,199.352453,1259865.015
BTCUSDT-1d-2020-03.csv,1.58561E+12,6387.83,6516.79,6334.59,6434.43,200.191905,1.5857E+12,1289487.199,1308,84.471185,544068.7908
BTCUSDT-1d-2020-04.csv,1.5857E+12,6419.08,6679.96,6152.38,6641,244.83346,1.58579E+12,1564376.316,1957,126.728595,811211.8294
BTCUSDT-1d-2020-04.csv,1.58579E+12,6649.73,7226.02,6558.62,6826.94,569.861637,1.58587E+12,3876936.517,3276,341.198641,2325228.816
BTCUSDT-1d-2020-04.csv,1.58587E+12,6786,7035.95,6607.95,6721.11,374.740512,1.58596E+12,2558021.882,2605,196.299581,1340159.439
BTCUSDT-1d-2020-04.csv,1.58596E+12,6725.64,6996.58,6654.02,6862.65,278.684236,1.58604E+12,1895481.493,2404,156.805761,1067213.556
BTCUSDT-1d-2020-04.csv,1.58604E+12,6891.57,6891.57,6674.97,6771.41,129.581436,1.58613E+12,879082.3466,1251,79.954217,542018.4636
BTCUSDT-1d-2020-04.csv,1.58613E+12,6767.44,7347,6767.44,7332.68,271.71646,1.58622E+12,1922614.508,2634,166.41688,1178673.994
BTCUSDT-1d-2020-04.csv,1.58622E+12,7325.21,7450.93,7084.68,7197.12,193.637296,1.5863E+12,1411402.513,1855,107.225341,782034.2954
BTCUSDT-1d-2020-04.csv,1.5863E+12,7198.53,7419.96,7155.97,7363.77,137.537852,1.58639E+12,1005714.448,1277,91.23704,667268.876
BTCUSDT-1d-2020-04.csv,1.58639E+12,7360.5,7368.22,7108.22,7283.68,73.043289,1.58648E+12,530990.1174,932,43.874634,319187.9602
BTCUSDT-1d-2020-04.csv,1.58648E+12,7280.13,7288.54,6750,6857.58,94.517529,1.58656E+12,658101.5608,1871,52.72145,367413.6602
BTCUSDT-1d-2020-04.csv,1.58656E+12,6864.09,6935.07,6758.95,6881.93,46.401843,1.58665E+12,318149.8496,1010,22.607305,155135.822
BTCUSDT-1d-2020-04.csv,1.58665E+12,6900.23,7175.38,6782.41,6894.29,91.2665,1.58674E+12,638196.8237,1663,54.567446,382119.8929
BTCUSDT-1d-2020-04.csv,1.58674E+12,6883.46,6883.78,6564.42,6836.5,115.760435,1.58682E+12,779043.9365,2558,60.945207,409693.0984
BTCUSDT-1d-2020-04.csv,1.58682E+12,6837.6,6971,6767.66,6857.32,63.647023,1.58691E+12,437526.9217,1648,38.547071,264935.2302
BTCUSDT-1d-2020-04.csv,1.58691E+12,6865.7,6926.82,6609.01,6631.75,80.44159,1.587E+12,543475.392,1710,34.162391,231049.2207
BTCUSDT-1d-2020-04.csv,1.587E+12,6612.81,7201.47,6480,7100,282.056698,1.58708E+12,1948436.068,4621,155.332937,1072026.46
BTCUSDT-1d-2020-04.csv,1.58708E+12,7100,7145.41,6990.73,7036.17,71.961671,1.58717E+12,508556.7237,1831,36.443876,257665.139
BTCUSDT-1d-2020-04.csv,1.58717E+12,7026.47,7293.89,7017.63,7248.61,75.897316,1.58725E+12,543854.2751,1648,42.796358,306639.6356
BTCUSDT-1d-2020-04.csv,1.58725E+12,7256.84,7267.46,7057.69,7121.6,66.48976,1.58734E+12,475934.63,1291,26.220544,187932.0166
BTCUSDT-1d-2020-04.csv,1.58734E+12,7120.85,7215,6750,6828.56,147.097576,1.58743E+12,1021627.198,2598,62.212398,432872.002
BTCUSDT-1d-2020-04.csv,1.58743E+12,6823.57,6934.46,6761.06,6845.56,183.05607,1.58751E+12,1253978.012,3270,85.735027,587813.1923
BTCUSDT-1d-2020-04.csv,1.58751E+12,6841.33,7154.79,6819.58,7124.66,84.760407,1.5876E+12,596052.0344,1773,61.493851,431968.2043
BTCUSDT-1d-2020-04.csv,1.5876E+12,7130.11,7752.45,7029.33,7480.05,206.001356,1.58769E+12,1527239.343,3358,117.182027,868256.1641
BTCUSDT-1d-2020-04.csv,1.58769E+12,7484.46,7658.78,7401.05,7497.34,110.173282,1.58777E+12,829707.6148,1709,59.759985,451105.2026
BTCUSDT-1d-2020-04.csv,1.58777E+12,7506.54,7720.52,7437.46,7541.17,98.724925,1.58786E+12,747267.3919,1606,42.042777,319330.4022
