,Source,open_time,open,high,low,close,volume
0,BTCUSDT-1d-2023-04.csv,1680310000000.0,28460.1,28815.32,28218.91,28452.75,913.66801
1,BTCUSDT-1d-2023-04.csv,1680390000000.0,28449.0,28530.76,27854.49,28176.4,1189.9971
2,BTCUSDT-1d-2023-04.csv,1680480000000.0,28177.46,28500.29,27265.0,27806.67,3575.72719
3,BTCUSDT-1d-2023-04.csv,1680570000000.0,27793.56,28440.3,27654.08,28164.56,2375.33862
4,BTCUSDT-1d-2023-04.csv,1680650000000.0,28157.88,28770.27,27828.89,28166.68,2440.36142
5,BTCUSDT-1d-2023-04.csv,1680740000000.0,28166.68,28185.68,27711.66,28031.19,1433.80828
6,BTCUSDT-1d-2023-04.csv,1680830000000.0,28033.82,28104.6,27763.3,27901.7,822.73371
7,BTCUSDT-1d-2023-04.csv,1680910000000.0,27901.59,28156.05,27854.98,27941.17,376.18819
8,BTCUSDT-1d-2023-04.csv,1681000000000.0,27935.62,28531.54,27797.43,28324.72,854.09292
9,BTCUSDT-1d-2023-04.csv,1681080000000.0,28324.4,29769.78,28159.33,29642.28,1858.429484
10,BTCUSDT-1d-2023-04.csv,1681170000000.0,29636.58,30560.6,29589.23,30196.78,2445.705852
11,BTCUSDT-1d-2023-04.csv,1681260000000.0,30196.78,30482.07,29650.0,29891.39,2395.59523
12,BTCUSDT-1d-2023-04.csv,1681340000000.0,29891.39,30583.58,29851.17,30376.49,2115.014824
13,BTCUSDT-1d-2023-04.csv,1681430000000.0,30378.69,31015.88,29966.04,30461.9,3084.714799
14,BTCUSDT-1d-2023-04.csv,1681520000000.0,30466.38,30596.82,30199.57,30293.1,862.57072
15,BTCUSDT-1d-2023-04.csv,1681600000000.0,30296.76,30547.63,30118.55,30301.91,1069.92307
16,BTCUSDT-1d-2023-04.csv,1681690000000.0,30300.78,30322.57,29240.22,29429.64,2358.13101
17,BTCUSDT-1d-2023-04.csv,1681780000000.0,29429.64,30486.46,29095.3,30381.36,3380.29609
18,BTCUSDT-1d-2023-04.csv,1681860000000.0,30382.2,30409.62,28574.5,28798.07,4498.91245
19,BTCUSDT-1d-2023-04.csv,1681950000000.0,28796.0,29083.99,27999.36,28240.95,3391.78918
20,BTCUSDT-1d-2023-04.csv,1682040000000.0,28240.95,28370.56,27136.94,27263.02,3530.68713
21,BTCUSDT-1d-2023-04.csv,1682120000000.0,27259.36,27881.46,27144.51,27818.2,1630.99713
22,BTCUSDT-1d-2023-04.csv,1682210000000.0,27813.95,27819.65,27333.08,27588.59,1748.96198
23,BTCUSDT-1d-2023-04.csv,1682290000000.0,27587.87,27998.15,26962.3,27512.82,3403.33245
24,BTCUSDT-1d-2023-04.csv,1682380000000.0,27512.18,28391.62,27191.21,28296.98,2977.17603
25,BTCUSDT-1d-2023-04.csv,1682470000000.0,28303.19,30030.41,27249.0,28418.62,6455.58602
26,BTCUSDT-1d-2023-04.csv,1682550000000.0,28419.14,29896.44,28377.78,29475.32,3965.41484
27,BTCUSDT-1d-2023-04.csv,1682640000000.0,29476.82,29593.39,28885.61,29312.93,1854.90346
28,BTCUSDT-1d-2023-04.csv,1682730000000.0,29317.65,29444.4,29038.97,29228.32,569.11839
29,BTCUSDT-1d-2023-04.csv,1682810000000.0,29228.38,29962.87,29088.14,29224.89,1295.21726
30,BTCUSDT-1d-2023-05.csv,1682900000000.0,29237.64,29334.06,27667.89,28073.3,2107.08053
31,BTCUSDT-1d-2023-05.csv,1682990000000.0,28068.26,28881.04,27869.8,28671.76,1585.44208
32,BTCUSDT-1d-2023-05.csv,1683070000000.0,28669.63,29266.83,28120.0,29030.86,2945.05292
33,BTCUSDT-1d-2023-05.csv,1683160000000.0,29030.55,29381.71,28663.22,28838.07,1434.38754
34,BTCUSDT-1d-2023-05.csv,1683240000000.0,28847.85,29678.6,28804.94,29504.4,1956.51079
35,BTCUSDT-1d-2023-05.csv,1683330000000.0,29505.43,29831.41,28333.15,28846.33,1278.7991
36,BTCUSDT-1d-2023-05.csv,1683420000000.0,28846.33,29133.92,28398.29,28426.29,895.69981
37,BTCUSDT-1d-2023-05.csv,1683500000000.0,28434.44,28631.55,27264.83,27669.62,2380.08777
38,BTCUSDT-1d-2023-05.csv,1683590000000.0,27658.38,27821.31,27351.56,27623.4,540.5754
39,BTCUSDT-1d-2023-05.csv,1683680000000.0,27632.61,28316.76,26839.91,27599.6,641.37046
40,BTCUSDT-1d-2023-05.csv,1683760000000.0,27592.89,27624.39,26713.98,26972.18,448.66664
41,BTCUSDT-1d-2023-05.csv,1683850000000.0,26972.63,27083.96,25816.67,26790.85,635.89815
42,BTCUSDT-1d-2023-05.csv,1683940000000.0,26801.54,27038.75,26688.04,26779.72,239.0358
43,BTCUSDT-1d-2023-05.csv,1684020000000.0,26769.29,27200.0,26575.51,26914.59,336.79274
44,BTCUSDT-1d-2023-05.csv,1684110000000.0,26917.28,27660.54,26734.85,27164.79,644.40195
45,BTCUSDT-1d-2023-05.csv,1684200000000.0,27158.37,27294.73,26841.8,27035.73,429.9884
46,BTCUSDT-1d-2023-05.csv,1684280000000.0,27035.73,27496.07,26546.47,27405.87,721.83
47,BTCUSDT-1d-2023-05.csv,1684370000000.0,27407.94,27484.31,26328.2,26820.9,698.56373
48,BTCUSDT-1d-2023-05.csv,1684450000000.0,26822.07,27173.0,26639.22,26880.33,373.31201
49,BTCUSDT-1d-2023-05.csv,1684540000000.0,26885.35,27156.6,26824.96,27100.7,148.42648
50,BTCUSDT-1d-2023-05.csv,1684630000000.0,27106.16,27275.06,26670.33,26746.96,334.04825
51,BTCUSDT-1d-2023-05.csv,1684710000000.0,26740.5,27092.02,26539.18,26853.73,833.0665
52,BTCUSDT-1d-2023-05.csv,1684800000000.0,26847.43,27493.33,26800.0,27224.87,1027.44256
53,BTCUSDT-1d-2023-05.csv,1684890000000.0,27223.34,27223.34,26080.19,26331.72,989.83037
54,BTCUSDT-1d-2023-05.csv,1684970000000.0,26321.61,26621.37,25873.88,26473.26,754.58955
55,BTCUSDT-1d-2023-05.csv,1685060000000.0,26479.19,26933.45,26328.31,26701.03,515.97944
56,BTCUSDT-1d-2023-05.csv,1685150000000.0,26707.46,26888.0,26555.0,26855.5,242.07005
57,BTCUSDT-1d-2023-05.csv,1685230000000.0,26857.06,28256.38,26768.59,28063.46,585.09302
58,BTCUSDT-1d-2023-05.csv,1685320000000.0,28069.22,28444.71,27526.32,27738.83,811.60832
59,BTCUSDT-1d-2023-05.csv,1685400000000.0,27737.94,28041.41,27556.7,27696.3,715.64459
60,BTCUSDT-1d-2023-05.csv,1685490000000.0,27688.81,27834.35,26832.67,27213.15,899.40734
61,BTCUSDT-1d-2023-06.csv,1685580000000.0,27213.15,27347.62,26611.33,26815.41,682.48871
62,BTCUSDT-1d-2023-06.csv,1685660000000.0,26812.5,27298.4,26500.0,27241.48,583.12988
63,BTCUSDT-1d-2023-06.csv,1685750000000.0,27245.09,27325.93,26913.43,27068.35,246.40205
64,BTCUSDT-1d-2023-06.csv,1685840000000.0,27068.35,27454.7,26952.6,27124.27,283.16666
65,BTCUSDT-1d-2023-06.csv,1685920000000.0,27107.75,27133.99,25395.44,25725.97,836.83073
66,BTCUSDT-1d-2023-06.csv,1686010000000.0,25733.56,27274.2,25355.82,27235.2,800.25667
67,BTCUSDT-1d-2023-06.csv,1686100000000.0,27240.65,27363.71,26270.41,26344.3,371.26585
68,BTCUSDT-1d-2023-06.csv,1686180000000.0,26344.5,26793.17,26246.4,26525.73,137.95613
69,BTCUSDT-1d-2023-06.csv,1686270000000.0,26525.71,26762.26,26305.9,26504.97,251.90923
70,BTCUSDT-1d-2023-06.csv,1686360000000.0,26505.11,26544.0,25551.4,25849.51,253.88218
71,BTCUSDT-1d-2023-06.csv,1686440000000.0,25842.28,26192.22,25689.58,25919.52,154.07575
72,BTCUSDT-1d-2023-06.csv,1686530000000.0,25933.43,26081.0,25675.0,25925.43,193.8055
73,BTCUSDT-1d-2023-06.csv,1686610000000.0,25925.43,26356.07,25738.31,25924.41,186.40563
74,BTCUSDT-1d-2023-06.csv,1686700000000.0,25925.46,26098.35,25019.04,25124.36,234.26558
75,BTCUSDT-1d-2023-06.csv,1686790000000.0,25132.59,25722.99,24817.35,25595.96,217.78144
76,BTCUSDT-1d-2023-06.csv,1686870000000.0,25605.96,26452.16,25289.67,26354.99,186.12735
77,BTCUSDT-1d-2023-06.csv,1686960000000.0,26354.98,26763.68,26078.69,26537.1,99.41706
78,BTCUSDT-1d-2023-06.csv,1687050000000.0,26515.99,26707.24,26296.39,26349.44,95.2113
79,BTCUSDT-1d-2023-06.csv,1687130000000.0,26349.44,26995.37,26272.97,26832.67,109.95144
80,BTCUSDT-1d-2023-06.csv,1687220000000.0,26824.1,28419.28,26628.01,28316.76,310.47523
